state_alpha,state_name,county_name,year,value,unit,short_desc,commodity,statistic
KS,KANSAS,,2013,14,ACRES,"BERRY TOTALS, IRRIGATED, CHEMIGATION, AREA GROWN - TREATED, MEASURED IN ACRES",BERRY TOTALS,TREATED
CO,COLORADO,,2013,"29,741",ACRES,"SMALL GRAINS, OTHER, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",SMALL GRAINS,TREATED
KS,KANSAS,,2018,"4,577",ACRES,"SORGHUM, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",SORGHUM,TREATED
KS,KANSAS,,2018,"18,151",ACRES,"SOYBEANS, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",SOYBEANS,TREATED
NE,NEBRASKA,,2018,"3,052",ACRES,"HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",HAY & HAYLAGE,TREATED
NE,NEBRASKA,,2013,"211,752",ACRES,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",CORN,TREATED
CO,COLORADO,,2013,"4,701",ACRES,"CORN, SILAGE, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",CORN,TREATED
KS,KANSAS,,2018,868,ACRES,"PASTURELAND, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",PASTURELAND,TREATED
NE,NEBRASKA,,2018,"20,484",ACRES,"POTATOES, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",POTATOES,TREATED
KS,KANSAS,,2013,"390,971",ACRES,"CORN, GRAIN, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",CORN,TREATED
CO,COLORADO,,2018,"15,280",ACRES,"CROPS, OTHER, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES","CROPS, OTHER",TREATED
NE,NEBRASKA,,2018,643,ACRES,"CORN, SILAGE, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",CORN,TREATED
CO,COLORADO,,2018,"23,724",ACRES,"POTATOES, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",POTATOES,TREATED
